Current owner,Website,Email,Name energy installation,Boreholen name,End drilling,Province,Municipality,Well status,Longitude WGS84,Latitude WGS84,Start drilling,Drilltime (days),Borehole/sidetrack,Original owner,Drilling contractor,Kickoff depth AH (m),Boorgatdiepte AH t.o.v. NAP / MSL,Boorgatdiepte TVD t.o.v. NAP / MSL,Well name,Mining code,Full data public from
85 Degrees Renewables 1 & 2 B.V.,https://www.85renewable.com/en/home,https://www.85renewable.com/en/contact,Installatie Bleiswijk,VANDENBOSCH-GT-02-SIDETRACK1,7/16/07,Zuid-Holland,Lansingerland,Closed-in,4.51675283,52.0133224,6/13/07,33,STR,A.G. van den Bosch B.V.,Daldrup en Sohne AG,730,2332.15,1623.46,VANDENBOSCH-02,VDB-GT1,16-07-2012
85 Degrees Renewables 3 & 4 B.V.,https://www.85renewable.com/en/home,https://www.85renewable.com/en/contact,Installatie Berkel en Rodenrijs,VANDENBOSCH-GT-03,6/20/09,Zuid-Holland,Lansingerland,Suspended,4.48454708,52.02272596,3/6/09,106,BRH,A.G. van den Bosch B.V.,Daldrup & Söhne AG,,2144.6,1895.25,VANDENBOSCH-03,VDB-GT2,20-06-2014
85 Degrees Renewables 3 & 4 B.V.,https://www.85renewable.com/en/home,https://www.85renewable.com/en/contact,Installatie Berkel en Rodenrijs,VANDENBOSCH-GT-04,8/7/09,Zuid-Holland,Lansingerland,Closed-in,4.48807111,52.02350554,2/6/09,182,BRH,A.G. van den Bosch B.V.,Daldrup en Sohne AG,,2010.46,1834.44,VANDENBOSCH-04,VDB-GT2,7/8/14
A en G van den Bosch B.V.,https://www.harvesthouse.nl/onze-telers/a.-en-g.-van-den-bosch,Info@harvesthouse.nl,Installatie Bleiswijk,VANDENBOSCH-GT-01-SIDETRACK1,4/16/07,Zuid-Holland,Lansingerland,Suspended,4.51671994,52.01325348,3/21/07,26,STR,A en G van den Bosch B.V.,Daldrup & Söhne AG,2125,2461.7,1702.11,VANDENBOSCH-01,VDB-GT1,16-04-2012
Aardwarmte Combinatie Luttelgeest B.V.,https://www.allesoveraardwarmte.nl/aardwarmtewinning-locatie/aardwarmte-combinatie-luttelgeest-acl/,info@allesoveraardwarmte.nl,Luttelgeest Geothermie 2,LUTTELGEEST-GT-04,6/15/20,Flevoland,Noordoostpolder,,5.84257742,52.75344467,4/18/20,58,BRH,Aardwarmte Combinatie Luttelgeest B.V.,Daldrup & Söhne AG,,,,LUTTELGEEST-GT-04,LTG-GT2,15-06-2025
Aardwarmte Combinatie Luttelgeest B.V.,https://www.allesoveraardwarmte.nl/aardwarmtewinning-locatie/aardwarmte-combinatie-luttelgeest-acl/,info@allesoveraardwarmte.nl,Luttelgeest Geothermie 2,LUTTELGEEST-GT-05,8/27/20,Flevoland,Noordoostpolder,,5.84245497,52.75349518,7/4/20,54,BRH,Aardwarmte Combinatie Luttelgeest B.V.,Daldrup & Söhne AG,,,,LUTTELGEEST-GT-05,LTG-GT2,27-08-2025
Aardwarmte Combinatie Luttelgeest B.V.,https://www.allesoveraardwarmte.nl/aardwarmtewinning-locatie/aardwarmte-combinatie-luttelgeest-acl/,info@allesoveraardwarmte.nl,Luttelgeest Geothermie 2,LUTTELGEEST-GT-06,11/1/20,Flevoland,Noordoostpolder,,5.84233256,52.75354597,9/14/20,48,BRH,Aardwarmte Combinatie Luttelgeest B.V.,Daldrup & Söhne AG,,,,LUTTELGEEST-GT-06,LTG-GT2,1/11/25
Aardwarmte Vogelaer B.V.,https://www.aardwarmtevogelaer.nl/,info@aardwarmtevogelaer.nl,Honselersdijk Geothermie,HONSELERSDIJK-GT-02,5/8/12,Zuid-Holland,Westland,Closed-in,4.22523634,52.01532863,3/13/12,56,BRH,Green Well Westland B.V.,Drilltec Netherlands B.V.,,3031.84,2726.45,HONSELERSDIJK-GT-02,HON-GT,8/5/17
Aardwarmte Vogelaer B.V.,https://www.aardwarmtevogelaer.nl/,info@aardwarmtevogelaer.nl,Poeldijk Geothermie,POELDIJK-GT-01,9/29/16,Zuid-Holland,Westland,Producing/Injecting,4.23784102,52.02368551,8/19/16,41,BRH,Aardwarmte Vogelaer B.V.,Drilltec Netherlands B.V.,,2789.85,2451.07,POELDIJK-GT-01,PLD-GT,29-09-2021
Aardwarmte Vogelaer B.V.,https://www.aardwarmtevogelaer.nl/,info@aardwarmtevogelaer.nl,Poeldijk Geothermie,POELDIJK-GT-02,11/6/16,Zuid-Holland,Westland,Producing/Injecting,4.23775177,52.02375655,10/1/16,36,BRH,Aardwarmte Vogelaer B.V.,Drilltec Netherlands B.V.,,2702.85,2426.2,POELDIJK-GT-02,PLD-GT,6/11/21
